1957,100
1959,100
1963,102.4
1980,261.2
1985,325.3
1990,357.6
1995,381.1
2000,394.1
2001,394.3
2005,468.2
2010,550.8
2014,576.1
2015,556.8
2020,596.2
2021,708.8
2022,816
2023,808.8
2024,794.1
